[31,] -0.000466869 -0.000869146  3.42797e-03  4.74848e-03  0.010439005
              [,6]         [,7]         [,8]         [,9]        [,10]
 [1,] -0.002288261 -4.16603e-04  3.19398e-03 -0.005761686 -1.82283e-03
 [2,]  0.001489983  6.47097e-04 -1.37714e-03  0.003031876  2.26864e-03
 [3,]  0.003521635 -1.33916e-03 -3.86001e-03  0.004388314 -7.22169e-05
 [4,] -0.002436422 -4.89696e-03 -1.25423e-05 -0.008179339 -4.03591e-03
 [5,]  0.010047147 -1.31304e-03 -8.73365e-03 -0.000411216 -3.28985e-03
 [6,]  0.005796995 -6.79309e-04 -5.34280e-03  0.004228746 -2.57424e-04
 [7,] -0.000679309  4.52830e-03  1.65721e-03  0.004312590  1.43938e-03
 [8,] -0.005342799  1.65721e-03  9.83255e-03 -0.002539731  5.61332e-04
 [9,]  0.004228746  4.31259e-03 -2.53973e-03  0.021208977  3.41482e-03
[10,] -0.000257424  1.43938e-03  5.61332e-04  0.003414818  4.24963e-03
[11,] -0.003122870 -6.72692e-04  1.98543e-03 -0.004264703 -4.19793e-04
[12,] -0.002793368 -1.07290e-03  5.60175e-03 -0.003127154  6.41419e-04
[13,]  0.007430706  1.50274e-03 -5.61155e-03  0.007702574  2.02970e-03
[14,] -0.008992475 -2.42911e-03  6.85403e-03 -0.009646528 -3.33971e-03
[15,]  0.005332033  1.11325e-03 -5.20565e-03  0.007290779  2.63635e-03
[16,] -0.012116415 -3.18034e-04  8.23549e-03 -0.015552904 -2.50069e-03
[17,] -0.000246510  2.34099e-03  3.04806e-04  0.004906153  1.04237e-03
[18,] -0.006659039 -1.55040e-03  6.08933e-03 -0.009675458 -3.50716e-03
[19,]  0.003874515  9.29030e-04 -3.75781e-03  0.006648931 -2.53972e-04
[20,] -0.000798122  3.08259e-03  1.90078e-03  0.002534090  2.85076e-03
[21,] -0.002529239 -2.59461e-03  2.75318e-04 -0.008716228 -3.18897e-03
[22,]  0.006265482 -2.85449e-03 -8.80211e-03 -0.002909377 -3.34635e-03
[23,] -0.004950699  1.87485e-03  7.47222e-03  0.001092046  2.36458e-04
[24,]  0.004434414  1.06000e-03 -5.64527e-03  0.005599565  1.95048e-03
[25,]  0.007229153  1.01507e-03 -5.82613e-03  0.007707955  1.68498e-03
[26,]  0.003879807  1.38653e-03 -1.65802e-03  0.002586042  4.88081e-03
[27,] -0.000293896  6.23941e-03  3.55168e-03  0.010854136  3.40099e-03
[28,] -0.006771743 -9.64748e-05  6.93878e-03 -0.005305187  2.74055e-04
[29,] -0.000922289 -1.61873e-03 -2.71349e-03 -0.004996010  6.51143e-05
[30,] -0.001771408  2.37464e-03  2.50243e-03  0.005504333  2.72241e-03
[31,]  0.004273807 -3.80032e-03 -7.37942e-03 -0.002933152 -2.68464e-03
             [,11]        [,12]        [,13]       [,14]        [,15]
 [1,]  0.001255845  0.003312815 -0.003610362  0.00228135 -0.003539706
 [2,] -0.001192289 -0.001646402  0.003533488 -0.00600701  0.003514695
 [3,] -0.001987617 -0.000121269  0.003690234 -0.00461052  0.003124650
 [4,]  0.003200802  0.001087016 -0.006937944  0.01121142 -0.005991996
 [5,] -0.007961482  0.002420068  0.022228152 -0.02917736  0.008217916
 [6,] -0.003122870 -0.002793368  0.007430706 -0.00899248  0.005332033
 [7,] -0.000672692 -0.001072897  0.001502740 -0.00242911  0.001113255
 [8,]  0.001985432  0.005601753 -0.005611549  0.00685403 -0.005205646
 [9,] -0.004264703 -0.003127154  0.007702574 -0.00964653  0.007290779
[10,] -0.000419793  0.000641419  0.002029704 -0.00333971  0.002636353
[11,]  0.003318179 -0.000879531 -0.005657552  0.00782271 -0.003533707
[12,] -0.000879531  0.013291866  0.000795084 -0.00158589 -0.003074291
[13,] -0.005657552  0.000795084  0.020882473 -0.02304061  0.009164927
[14,]  0.007822712 -0.001585891 -0.023040614  0.03489276 -0.012344119
[15,] -0.003533707 -0.003074291  0.009164927 -0.01234412  0.008845266
[16,]  0.008921341 -0.001238972 -0.021598719  0.02724906 -0.014381058
[17,] -0.000251829 -0.002789915 -0.001218912  0.00170291  0.000886874
[18,]  0.004726869  0.002083188 -0.014864518  0.01818136 -0.009774997
[19,] -0.002759742 -0.002871966  0.003958720 -0.00556503  0.004066712
[20,] -0.000278508 -0.000364928  0.001690842 -0.00234682  0.001432339
[21,]  0.002991491 -0.000467326 -0.007902855  0.00984750 -0.005340344
[22,] -0.001488684 -0.009834904  0.007438894 -0.00615540  0.004505973
[23,]  0.002530830  0.002576914 -0.007051043  0.01312901 -0.004963093
[24,] -0.002454231 -0.005343515  0.006105944 -0.01098934  0.006823286
[25,] -0.006016610  0.002953990  0.016492815 -0.02286960  0.008757972
[26,] -0.003635847  0.003587575  0.014348345 -0.02224697  0.007965477
[27,] -0.002070922 -0.002455861  0.001978204 -0.00571672  0.003173939
[28,]  0.004503730  0.003183577 -0.010672379  0.01121550 -0.006760210
[29,]  0.003046691 -0.005944685 -0.005178203  0.00630126 -0.001310363
